Num,lat,lon,value,MAT,MAT_season,MAP,MAP_season,AI,AET,VPD,srad,tmax,tmin,CEC,BD,pH,Sand,Silt,Clay,SWC,SOC,TN,TP,MBC,MBN,FB_ratio,NPP,BNPP,NDVI,Ndep,LDMC,SLA_MODIS,LNC_MODIS,LPC_MODIS,Vcmax,fLNR,EM_tree,AM_tree
40,35.96666667,101.0147222,4.6163375,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
41,35.96666667,101.0147222,3.9356425,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
42,35.96666667,101.0147222,3.2301975,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
43,35.96666667,101.0147222,18.35396,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
44,35.96666667,101.0147222,20.2722775,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
45,35.96666667,101.0147222,13.4282175,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
46,35.96666667,101.0147222,10.4702975,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
47,35.96666667,101.0147222,22.7227725,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
48,35.96666667,101.0147222,8.143565,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
49,35.96666667,101.0147222,0.8663375,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
50,35.96666667,101.0147222,7.1658425,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
51,41.85,124.9,0.389149583,5.473906,1313.444,849,101.1182,7895,601.8424,0.55,165.4667,12.68333,0.075,0.3459,1.15,6.5,39,45,16,33,53.2,4.3,1000,82.0329,15.8808,0.1991354,2646,2.008406,0.413,0.1080159,0.3098215,15.07006,15.11684,1.2928,57.86973,13.69649,0.8035304,0.2148326
52,41.85,124.9,0.267606667,5.473906,1313.444,849,101.1182,7895,601.8424,0.55,165.4667,12.68333,0.075,0.3459,1.15,6.5,39,45,16,33,53.2,4.3,1000,82.0329,15.8808,0.1991354,2646,2.008406,0.413,0.1080159,0.3098215,15.07006,15.11684,1.2928,57.86973,13.69649,0.8035304,0.2148326
53,41.85,124.9,0.207815417,5.473906,1313.444,849,101.1182,7895,601.8424,0.55,165.4667,12.68333,0.075,0.3459,1.15,6.5,39,45,16,33,53.2,4.3,1000,82.0329,15.8808,0.1991354,2646,2.008406,0.413,0.1080159,0.3098215,15.07006,15.11684,1.2928,57.86973,13.69649,0.8035304,0.2148326
54,41.85,124.9,0.097545,5.473906,1313.444,849,101.1182,7895,601.8424,0.55,165.4667,12.68333,0.075,0.3459,1.15,6.5,39,45,16,33,53.2,4.3,1000,82.0329,15.8808,0.1991354,2646,2.008406,0.413,0.1080159,0.3098215,15.07006,15.11684,1.2928,57.86973,13.69649,0.8035304,0.2148326
55,41.85,124.9,0.042164583,5.473906,1313.444,849,101.1182,7895,601.8424,0.55,165.4667,12.68333,0.075,0.3459,1.15,6.5,39,45,16,33,53.2,4.3,1000,82.0329,15.8808,0.1991354,2646,2.008406,0.413,0.1080159,0.3098215,15.07006,15.11684,1.2928,57.86973,13.69649,0.8035304,0.2148326
56,41.85,124.9,0.275448333,5.473906,1313.444,849,101.1182,7895,601.8424,0.55,165.4667,12.68333,0.075,0.3459,1.15,6.5,39,45,16,33,53.2,4.3,1000,82.0329,15.8808,0.1991354,2646,2.008406,0.413,0.1080159,0.3098215,15.07006,15.11684,1.2928,57.86973,13.69649,0.8035304,0.2148326
