Num,lat,lon,site_mean,MAT,MAT_season,MAP,MAP_season,AI,AET,VPD,srad,tmax,tmin,CEC,BD,pH,Sand,Silt,Clay,SWC,SOC,TN,TP,MBC,MBN,FB_ratio,NPP,BNPP,NDVI,Ndep,LDMC,SLA_MODIS,LNC_MODIS,LPC_MODIS,Vcmax,fLNR,EM_tree,AM_tree
183,41.8,-123.2,7.465,9.398656,581.2832,1109,76.43132,8748,475.1637,0.6583334,175.2417,16.275,1.2,0.08859999,1.49,6.1,55,32,13,21,24.7,0.8,200,37.149,11.2057,0.1283152,9487,1.282295,0.735,0.02097821,0.379809,8.380339,14.28502,1.125508,57.18527,10.91832,0.8501103,0.1466294
239,65.52,12.52,36.41,2.848983,633.1545,1796,24.93593,31280,369.156,0.2416667,94.19167,5.858333,-0.06666667,0.0631,1.38,5.7,73,12,8,31,9.5,0.6,NaN,275.904,24.574,0.1945426,1292,0.9960075,0.097,0.01760076,0.2869097,12.39149,17.00525,1.547076,NaN,NaN,0.9213129,0.07433586
248,52.15,-8.27,218,9.378489,377.5371,1457,29.51783,21388,549.8441,0.2583333,112.6333,13.15,6.7,0.1455,1.16,5.9,50,34,15,32,44.8,2.1,700,177.668,23.8623,NaN,7974,1.654236,0.681,0.03672798,0.3060859,12.44492,17.59542,1.331998,47.55366,15.80174,0.6346732,0.3414207
270,-43.63,172.5,28.15,10.72062,373.0665,996,29.25323,9944,NaN,0.4833333,156.7167,15.71667,6.683333,0.1366,1.26,5.5,41,40,19,37,17.8,1.5,600,145.332,21.5789,0.09392347,6798,1.632864,0.7,0.007230672,0.3101577,12.26543,15.43635,1.368937,NaN,NaN,0.74963,0.209975
276,-37.79,175.28,154,14.10914,360.6594,1305,16.10897,10708,908.2411,0.5,173.8083,19.10833,9.775,0.3051,0.84,5.6,37,47,17,42,62.7,3.8,1200,261.924,43.2752,NaN,0,NaN,NaN,0.01613982,0.2995981,14.11055,12.28471,1.440857,55.4982,18.63797,0.08708625,0.826052
278,47.45,8.68,222.5,9.136729,663.9551,1243,26.47464,13794,634.2645,0.45,138.7667,14.53333,6.55,0.1238,1.25,5.4,42,36,22,45,27,1.6,600,51.9065,9.11183,0.1761775,7578,1.55354,0.608,0.0872402,0.3191305,12.43416,9.179566,1.305037,39.07622,11.114,0.9448827,0.05952639
280,-37.18,175.57,452.6,13.01017,343.1368,1892,17.95205,17537,995.2294,0.4,171.8167,17.425,8.5,0.2639,1.23,6.1,25,34,39,52,18.8,1.7,800,126.534,17.4598,NaN,18662,1.636483,0.833,0.01613982,0.3356454,9.455416,14.92148,1.39281,60.63346,16.11136,0.08708625,0.826052
281,-40.53,176.19,335.8,12.49487,319.3315,1139,27.35889,8795,784.5565,0.4833333,165.875,18.01667,8.691667,0.1448,1.24,5.7,41,40,19,38,19.1,1.6,600,173.308,23.8483,0.1004969,18295,1.709467,NaN,0.01370762,0.328177,10.71053,9.97385,1.313651,57.74133,18.6872,0.2699457,0.7031247
285,-10.5,-62.5,4.5,24.4607,54.9618,2001,70.1377,15534,1354.014,0.6916667,163.8,31,18.6,0.0489,1.42,5.1,60,21,19,26,8.1,1,600,53.5903,15.1123,0.1402854,9227,0.987816,0.678,0.02689275,0.2862525,15.41393,16.34611,1.303072,73.2831,30.20572,0.02723663,0.8440597
287,5,-52.83,7,25.54149,40.75942,3073,49.03252,19539,1435.793,0.6,210.75,29.85833,21.89167,0.0539,1.41,4.8,66,10,24,42,18.3,1.5,400,138.225,22.1825,0.1471086,9170,1.465555,0.824,0.009236163,0.3213429,9.707294,16.56952,1.422161,66.65815,13.9073,0.06411122,0.8212723
288,5.22,-58.07,5.7,26.56507,64.00986,2136,44.25509,12223,1339.249,0.9,207.9333,31.5,22.75,0.0363,1.41,4.5,85,3,12,47,11.3,0.4,500,173.082,25.0143,0.1609342,10913,1.863256,0.838,0.01122819,0.3282914,9.960521,16.76443,1.372721,62.4342,13.2905,0.0698,0.8354421
291,-14.42,-39.08,4.61,23.61612,134.0431,1774,17.58122,12586,1498.852,0.5333334,198.4417,26.66667,20.325,0.1197,1.41,5,49,15,36,42,22.8,1.8,500,103.376,15.4868,0.1565719,15137,1.128715,0.824,0.01241012,0.3015885,12.93145,17.11018,1.238415,67.93095,14.86183,0.07026349,0.8529711
